0,AES
1,DKS
2,ENDP
3,EVHC
4,AAP
5,CTL
6,FL
7,SCG
8,QEP
9,MNK
10,UAA
11,DISCA
12,DISCK
13,GE
14,XON
15,MAT
16,OII
17,BHF
18,KIM
19,SBH
20,UA
21,OPK
