date,rm,smb,hml
2017-05-30,0.92264,-0.525879,0.048779
2017-05-31,0.624948,-0.4166,-0.391489
2017-06-01,0.344985,-0.077047,-0.395331
2017-06-02,0.670225,0.1561,-0.724057
2017-06-05,0.988666,0.23944,-1.470761
2017-06-06,1.012339,-0.063828,-0.764009
2017-06-07,0.758015,-0.012382,-0.030729
2017-06-08,0.135618,0.04217,0.591176
2017-06-09,-0.147462,0.080306,0.332212
2017-06-12,-0.206997,0.255299,1.021804
2017-06-13,0.036999,0.068389,1.155116
2017-06-14,0.357055,-0.10524,1.38738
2017-06-15,0.201009,-0.261428,0.801852
2017-06-16,0.135546,-0.301933,-0.468818
2017-06-19,0.190336,-0.134555,-0.660798
2017-06-20,0.532865,-0.340809,-1.025863
2017-06-21,-0.014242,0.169117,-0.580824
2017-06-22,0.141422,0.934192,-1.346804
2017-06-23,0.086555,1.703448,-1.971609
2017-06-26,-0.609058,1.810798,-1.311973
2017-06-27,0.094635,1.746899,-1.226834
2017-06-28,-0.658572,1.324366,0.123639
2017-06-29,0.259441,0.726095,0.255394
2017-06-30,-0.723833,1.124654,0.768124
2017-07-03,-0.616599,0.052236,1.057377
2017-07-05,0.410193,0.146042,0.878488
2017-07-06,-0.283414,0.052395,1.036304
2017-07-07,-0.335557,-0.286735,0.616356
2017-07-10,0.136493,-0.198188,0.11625
2017-07-11,0.004126,-0.479264,-0.420359
2017-07-12,-0.247148,-0.467295,-0.263606
2017-07-13,1.413251,-0.942002,-0.316179
2017-07-14,0.954151,-0.479141,0.231961
2017-07-17,1.316278,3.478939,6.113161
2017-07-18,1.375067,3.771662,6.491264
2017-07-19,0.700877,3.736563,6.33269
2017-07-20,1.051512,3.506154,6.583407
2017-07-21,0.627189,-0.449272,-0.067662
2017-07-24,0.562118,-0.602307,-0.199802
2017-07-25,0.455859,-0.422341,-0.137575
2017-07-26,0.166005,-0.257701,0.029607
2017-07-27,0.149749,-0.524286,0.327898
2017-07-28,0.137719,-1.056522,0.956358
2017-07-31,0.036465,-0.974579,1.186811
2017-08-01,-0.262743,-1.123574,1.351476
2017-08-02,-0.056577,-1.55516,1.557319
2017-08-03,0.08899,-1.361026,1.292102
2017-08-04,0.028352,-1.683058,1.005537
2017-08-07,0.267488,-1.264649,0.763015
2017-08-08,0.218349,-1.120367,0.564286
2017-08-09,-0.056579,-0.723141,0.366897
2017-08-10,0.101227,-0.734456,0.529167
2017-08-11,-1.459175,-1.111307,1.007849
2017-08-14,-1.508977,-0.91179,0.475167
2017-08-15,-0.315406,-0.571575,-0.033774
2017-08-16,-0.283149,-0.504778,-0.049453
2017-08-17,1.287994,-0.2918,-0.91298
2017-08-18,-0.405555,0.365864,-0.221963
2017-08-21,-1.551598,0.212314,0.10371
2017-08-22,-1.460328,0.569498,-0.258174
2017-08-23,-0.619609,0.416786,-0.509668
2017-08-24,0.579961,0.074518,-0.247763
2017-08-25,0.550073,0.32252,-0.224613
2017-08-28,0.666886,0.672307,0.2941
2017-08-29,-0.330073,1.766661,0.019518
2017-08-30,0.130863,1.703023,-0.579349
2017-08-31,0.823669,1.079205,-0.927421
2017-09-01,1.177721,0.822318,-1.626773
2017-09-05,1.345108,-0.079983,-0.73959
2017-09-06,0.506433,0.578329,-1.417033
2017-09-07,0.353601,0.670554,-0.758385
2017-09-08,-0.214211,1.254633,-0.809532
2017-09-11,-0.53655,1.308616,-1.070145
2017-09-12,1.259702,0.296619,0.095963
2017-09-13,1.279819,0.355919,0.115182
2017-09-14,1.332577,0.303438,1.135656
2017-09-15,1.43987,0.638917,1.295829
2017-09-18,0.516244,0.944676,1.083099
2017-09-19,0.343368,0.918854,0.782363
2017-09-20,0.407706,0.466908,0.566407
2017-09-21,0.492061,0.321436,0.515599
2017-09-22,0.064195,0.460164,0.364863
2017-09-25,-0.108134,0.507878,0.276427
2017-09-26,-0.412066,0.899392,-0.200245
2017-09-27,-0.41585,1.067046,-0.57657
2017-09-28,0.252606,1.26125,-0.9802
2017-09-29,0.372865,1.216268,-0.914599
2017-10-02,0.91592,1.005235,-1.149784
2017-10-03,1.296928,1.259419,-1.222072
2017-10-04,1.127865,1.130221,-0.70472
2017-10-05,1.126423,0.915782,-0.535084
2017-10-06,1.369372,0.940185,-0.232157
2017-10-09,0.840336,0.703786,-0.184662
2017-10-10,0.435041,0.493719,0.380814
2017-10-11,0.564838,0.839607,0.448183
2017-10-12,0.137444,0.748896,0.501986
2017-10-13,0.082547,0.10305,0.997863
2017-10-16,0.381965,-0.71274,1.285797
2017-10-17,0.274941,-1.378421,1.777829
2017-10-18,0.180392,-1.672811,1.688622
2017-10-19,0.428106,-1.396016,1.390704
2017-10-20,0.353052,-1.049328,0.830872
2017-10-23,0.700744,-0.704136,-0.098378
2017-10-24,0.266186,-0.692637,-0.018906
2017-10-25,0.332421,-0.758737,0.270848
2017-10-26,-0.203268,-0.370971,0.23274
2017-10-27,-0.586956,-0.764913,0.454761
2017-10-30,0.605138,-0.762323,0.477442
2017-10-31,0.097447,-0.681568,0.640235
2017-11-01,0.70897,-0.773053,0.25685
2017-11-02,0.755145,-0.749981,1.146593
2017-11-03,-0.031045,-0.344456,1.139388
2017-11-06,0.638629,0.065287,0.860773
2017-11-07,0.665085,0.378555,1.716389
2017-11-08,0.454351,0.718555,0.880231
2017-11-09,0.586157,-0.221036,0.50455
2017-11-10,-0.092865,0.124976,0.973118
2017-11-13,-0.286299,0.638137,0.868298
2017-11-14,-0.131823,0.66566,0.424237
2017-11-15,-0.532572,0.47274,0.243015
2017-11-16,-0.685515,0.036479,0.069833
2017-11-17,0.205751,0.313472,-0.644721
2017-11-20,-0.177674,0.705601,-0.538579
2017-11-21,0.213393,1.376374,-0.244889
2017-11-22,1.376204,1.170715,-0.607194
2017-11-24,0.448165,0.887327,-0.104468
2017-11-27,0.95781,1.07548,-1.137076
2017-11-28,0.762709,0.910173,-1.026275
2017-11-29,1.112098,0.294525,-0.862914
2017-11-30,1.139859,-0.261103,-0.496902
2017-12-01,1.739965,-0.856888,-0.379684
2017-12-04,1.606086,-1.248549,-0.085598
2017-12-05,0.490774,-1.009940,0.702523
2017-12-06,0.178891,-0.847816,0.642066
2017-12-07,-0.634249,-0.867962,0.997895
2017-12-08,-0.147481,-0.798304,0.159039
2017-12-11,0.511093,-0.438064,-0.522647
2017-12-12,1.189210,-0.570024,-0.220409
2017-12-13,1.363982,-0.234861,-0.066901
2017-12-14,1.014959,0.008454,0.390634
2017-12-15,0.067799,0.336100,0.126707
2017-12-18,0.586729,0.189445,-0.475113
2017-12-19,1.031156,0.280979,-1.174877
2017-12-20,0.650677,0.205256,-0.822124
2017-12-21,1.025781,-0.300154,0.150955
2017-12-22,0.390200,0.947900,-0.578053
2017-12-26,-0.253570,0.815734,0.064724
2017-12-27,0.022463,0.884405,0.013415
2017-12-28,0.116092,0.599625,0.450319
2017-12-29,0.108383,0.381880,0.200474
2018-01-02,-0.224307,0.531196,-0.054483
2018-01-03,0.610121,1.239050,-0.295606
2018-01-04,1.170794,1.316112,-0.438179
2018-01-05,1.407452,2.223594,-0.515819
2018-01-08,2.435460,2.431829,-0.618306
2018-01-09,1.912274,1.362997,-0.144337
2018-01-10,1.497393,0.990726,-0.223949
2018-01-11,0.909325,0.594203,-0.242805
2018-01-12,0.987600,0.294578,-0.557788
2018-01-16,1.460227,0.544588,-0.677450
2018-01-17,0.892467,0.279233,0.124153
