date,rm,smb,hml
2016-11-08,0.990474,-1.941435,0.42443
2016-11-09,2.083929,-1.722483,0.292394
2016-11-10,3.615208,-0.323271,-0.293212
2016-11-11,4.004412,0.592384,-0.264628
2016-11-14,1.581417,2.798087,-0.167658
2016-11-15,1.1585,3.055318,0.817115
2016-11-16,0.854938,2.689601,1.612627
2016-11-17,0.493383,2.830955,1.092697
2016-11-18,1.145655,0.795841,1.121609
2016-11-21,0.905103,1.005478,0.875881
2016-11-22,0.856855,1.060797,0.216314
2016-11-23,1.1884,-0.051578,0.047821
2016-11-25,0.812971,0.173479,-0.37059
2016-11-28,1.382088,-0.005996,-0.753483
2016-11-29,0.190814,0.45157,-0.41382
2016-11-30,0.163243,0.083141,-0.283796
2016-12-01,-0.181217,-0.420576,1.258896
2016-12-02,-0.902812,-0.475199,2.314211
2016-12-05,-0.38997,-0.770747,2.042421
2016-12-06,0.022636,-0.033106,1.825396
2016-12-07,0.617256,0.465768,1.111
2016-12-08,2.295814,-0.20292,0.201092
2016-12-09,2.485547,0.747962,-0.851529
2016-12-12,2.511994,0.846714,-0.670983
2016-12-13,2.043394,0.031873,-0.075158
2016-12-14,1.402681,0.24222,-0.025117
2016-12-15,0.346466,-0.282887,0.536592
2016-12-16,0.145702,-0.38894,0.041526
2016-12-19,0.077999,0.132582,-0.151636
2016-12-20,-0.391278,0.249067,0.12174
2016-12-21,0.79417,0.111334,0.382386
2016-12-22,0.137003,0.023359,0.387406
2016-12-23,0.146621,-0.222989,0.566723
2016-12-27,0.084257,0.163653,0.101703
2016-12-28,-0.057428,0.237078,-0.0223
2016-12-29,-0.61116,0.329636,0.205467
2016-12-30,-0.461402,-0.182287,0.030671
2017-01-03,-0.948203,-0.305441,0.684904
2017-01-04,-0.472949,0.175768,0.497936
2017-01-05,0.935745,0.637251,-0.272231
2017-01-06,0.891424,1.280489,-0.035147
2017-01-09,1.646164,1.135021,-0.214156
2017-01-10,0.590665,1.094083,-0.497246
2017-01-11,-0.030902,1.064711,0.186372
2017-01-12,0.31366,0.643485,-0.093937
2017-01-13,-0.290455,0.504318,-0.390415
2017-01-17,0.229581,0.342788,0.008693
2017-01-18,-0.070656,-0.132246,0.268514
2017-01-19,-0.14533,-0.464791,0.071043
2017-01-20,-0.273646,-0.493826,0.373613
2017-01-23,-0.145362,-0.667713,0.624132
2017-01-24,-0.04861,-0.707771,0.642139
2017-01-25,0.374879,-0.755185,0.780908
2017-01-26,1.562293,-0.387942,0.207554
2017-01-27,1.149146,-0.402456,0.30916
2017-01-30,1.242373,0.289472,-0.043165
2017-01-31,0.017575,0.292456,-0.064738
2017-02-01,-0.836674,-0.057573,0.020175
2017-02-02,-0.726139,-0.006937,-0.298428
2017-02-03,-0.532774,-0.45076,-0.382526
2017-02-06,0.768791,-0.167353,-0.397224
2017-02-07,0.619617,0.302666,0.166223
2017-02-08,0.590871,0.255766,-0.023596
2017-02-09,0.654169,-0.305375,0.606112
2017-02-10,0.523149,-0.287861,-0.075037
2017-02-13,1.091846,-0.410446,-0.16142
2017-02-14,1.63555,-0.365415,0.448898
2017-02-15,1.941028,0.383385,0.323612
2017-02-16,1.856189,0.22541,0.436537
2017-02-17,1.41271,0.105341,0.478465
2017-02-21,1.0055,0.218465,-0.270534
2017-02-22,1.172393,-0.465266,-0.30343
2017-02-23,0.608873,-0.642702,-0.036024
2017-02-24,0.724206,-0.993284,0.101483
2017-02-27,0.731728,-1.444109,0.075968
2017-02-28,0.287587,-0.447678,-0.573166
2017-03-01,0.088874,-0.361025,-0.314612
2017-03-02,1.397818,-0.334587,-0.706687
2017-03-03,0.654616,0.057087,-0.454227
2017-03-06,0.569308,-0.549634,0.13022
2017-03-07,0.53277,-0.590081,-0.216323
2017-03-08,-1.124111,-0.279764,0.036943
2017-03-09,-0.725884,-0.273857,-0.147653
2017-03-10,-0.691882,0.141529,-0.402752
2017-03-13,-0.050471,0.247673,-0.116308
2017-03-14,0.299515,0.650071,-0.513384
2017-03-15,0.143702,-0.035081,0.023578
2017-03-16,0.874045,-0.442015,0.479115
2017-03-17,0.370308,0.074444,0.298286
2017-03-20,0.147775,-0.046956,0.735258
2017-03-21,0.354484,0.18725,0.421894
2017-03-22,-1.713253,0.213352,0.729103
2017-03-23,-1.358761,-0.644372,0.234723
2017-03-24,-1.294922,-0.59029,0.276764
2017-03-27,-1.203801,-0.163793,-0.214321
2017-03-28,-0.089824,0.887328,-0.944563
2017-03-29,0.426876,1.443033,-0.328027
2017-03-30,0.675185,1.482119,-0.329844
2017-03-31,1.013254,1.122183,-0.039899
2017-04-03,0.916174,0.687213,0.404498
2017-04-04,0.046757,0.205573,0.71448
2017-04-05,-0.038202,-0.832942,1.161568
2017-04-06,-0.634867,-1.298165,1.597662
2017-04-07,-0.139997,-1.496355,1.32922
2017-04-10,-0.089221,-0.990399,0.774184
2017-04-11,-0.076433,-0.424884,0.150163
2017-04-12,0.115006,0.348461,-0.111083
2017-04-13,-0.548027,0.114093,0.052139
2017-04-17,-1.109883,0.215516,0.402957
2017-04-18,-0.322964,-0.237831,0.265093
2017-04-19,-0.502042,-0.63412,0.195349
2017-04-20,-0.264844,-0.612134,-0.436411
2017-04-21,1.178241,-0.706617,-0.236048
2017-04-24,0.017053,-0.184938,0.128158
2017-04-25,1.38972,-0.342398,0.115324
2017-04-26,2.167209,-0.280476,0.209064
2017-04-27,1.338773,0.439897,-0.121505
2017-04-28,1.709292,0.380136,-0.760161
2017-05-01,0.421745,0.566921,-0.58369
2017-05-02,0.046114,0.445755,-0.787226
2017-05-03,0.142594,-0.655244,-0.457944
2017-05-04,-0.037718,-0.72682,-0.087179
2017-05-05,0.264584,-1.162923,-0.405839
2017-05-08,0.448355,-1.224344,-0.248037
2017-05-09,0.372728,-0.667305,0.085752
2017-05-10,0.398289,-0.280701,-0.3424
2017-05-11,0.464941,0.139674,-0.209826
2017-05-12,-0.125146,0.394308,-0.197753
2017-05-15,-0.267034,0.129473,-0.194961
2017-05-16,0.323631,-0.459198,0.179582
2017-05-17,0.104232,-0.565637,0.302468
2017-05-18,-1.491104,-0.735697,0.949138
2017-05-19,-0.987324,-0.972166,0.679313
2017-05-22,-0.80959,-0.626897,0.590144
2017-05-23,-0.237401,-0.524527,0.277291
2017-05-24,1.768073,-0.552062,0.047951
2017-05-25,1.656315,-0.585193,0.005509
2017-05-26,1.430969,-0.58965,-0.054645
