Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
UNIT,Kemper Corp,1196,USD,17.83,16.72,0.00,"1,327.56",21324.68,6.64
VST,Vistra Energy Corp,-1069,USD,18.07,18.65,0.00,620.02,19316.83,3.11
W,Wayfair,-284,USD,72.86,70.31,0.41,-724.20,20692.24,-3.63
WBA,Walgreens Boots Alliance Inc. ,283,USD,71.57,70.54,-0.44,291.49,20254.31,1.46
WDAY,Workday Inc. ,-199,USD,102.49,100.2,0.00,-455.71,20395.51,-2.29
WLK,Westlake Chemical Corporation,-203,USD,100.88,98.25,0.00,-533.89,20478.64,-2.68
WLL,Whiting Petroleum Corporation,768,USD,23.64,25.69,0.00,"-1,574.40",18155.52,-7.98
WRI,Weingarten Realty Investors,601,USD,32.76,33.25,0.00,-294.49,19688.76,-1.47
XOM,Exxon Mobil Corporation,238,USD,82.55,83.93,-0.21,-328.44,19646.9,-1.64
XON,Intrexon Corporation,1432,USD,12.73,13.99,0.00,"-1,804.32",18229.36,-9.01
XPO,XPO Logistics Inc.,-257,USD,76.29,77.81,0.00,390.64,19606.53,1.95
