,ticker,xly,xlp,xle,xlf,xlv,xli,xlb,xlre,xlk,xlu
54,AMD,False,False,False,False,False,False,False,False,True,False
55,AME,False,False,False,False,False,True,False,False,False,False
56,AMG,False,False,False,True,False,False,False,False,False,False
57,AMGN,False,False,False,False,True,False,False,False,False,False
58,AMH,True,False,False,False,False,False,False,False,False,False
59,AMP,False,False,False,True,False,False,False,False,False,False
60,AMT,False,False,False,False,False,False,False,True,False,False
61,AMTD,False,False,False,True,False,False,False,False,False,False
62,AMZN,True,False,False,False,False,False,False,False,False,False
63,AN,True,False,False,False,False,False,False,False,False,False
64,ANAT,False,False,False,True,False,False,False,False,False,False
65,ANDV,False,False,True,False,False,False,False,False,False,False
66,ANET,False,False,False,False,False,False,False,False,True,False
67,ANSS,False,False,False,False,False,False,False,False,True,False
68,ANTM,False,False,False,False,True,False,False,False,False,False
69,AON,False,False,False,True,False,False,False,False,False,False
70,AOS,False,False,False,False,False,True,False,False,False,False
71,APA,False,False,True,False,False,False,False,False,False,False
72,APC,False,False,True,False,False,False,False,False,False,False
73,APD,False,False,False,False,False,False,True,False,False,False
74,APH,False,False,False,False,False,False,False,False,True,False
75,APLE,True,False,False,False,False,False,False,False,False,False
76,AR,False,False,True,False,False,False,False,False,False,False
77,ARE,False,False,False,False,False,False,False,True,False,False
78,ARMK,True,False,False,False,False,False,False,False,False,False
79,ARNC,False,False,False,False,False,True,False,False,False,False
80,ARRS,False,False,False,False,False,False,False,False,True,False
81,ARW,False,True,False,False,False,False,False,False,False,False
82,ASB,False,False,False,True,False,False,False,False,False,False
83,ASH,True,False,False,False,False,False,False,False,False,False
84,ATH,False,False,False,True,False,False,False,False,False,False
85,ATHN,True,False,False,False,False,False,False,False,False,False
86,ATO,False,False,False,False,False,False,False,False,False,True
87,ATR,False,True,False,False,False,False,False,False,False,False
88,ATVI,False,False,False,False,False,False,False,False,True,False
89,AVB,False,False,False,False,False,False,False,True,False,False
90,AVGO,False,False,False,False,False,False,False,False,True,False
91,AVT,False,True,False,False,False,False,False,False,False,False
92,AVY,False,False,False,False,False,False,True,False,False,False
93,AWI,False,True,False,False,False,False,False,False,False,False
94,AWK,False,False,False,False,False,False,False,False,False,True
95,AXP,False,False,False,True,False,False,False,False,False,False
96,AXS,False,False,False,True,False,False,False,False,False,False
97,AXTA,False,False,False,False,False,True,False,False,False,False
98,AYI,False,False,False,False,False,True,False,False,False,False
99,AZO,True,False,False,False,False,False,False,False,False,False
100,BA,False,False,False,False,False,True,False,False,False,False
101,BAC,False,False,False,True,False,False,False,False,False,False
102,BAH,True,False,False,False,False,False,False,False,False,False
103,BAX,False,False,False,False,True,False,False,False,False,False
104,BBBY,True,False,False,False,False,False,False,False,False,False
105,BBT,False,False,False,True,False,False,False,False,False,False
106,BBY,True,False,False,False,False,False,False,False,False,False
107,BC,False,False,True,False,False,False,False,False,False,False
108,BCR,False,False,False,False,True,False,False,False,False,False
109,BDN,True,False,False,False,False,False,False,False,False,False
110,BDX,False,False,False,False,True,False,False,False,False,False
111,BEN,False,False,False,True,False,False,False,False,False,False
112,BERY,False,True,False,False,False,False,False,False,False,False
113,BF.A,False,True,False,False,False,False,False,False,False,False
114,BF.B,False,True,False,False,False,False,False,False,False,False
115,BFAM,True,False,False,False,False,False,False,False,False,False
116,BG,False,True,False,False,False,False,False,False,False,False
117,BGCP,False,False,False,True,False,False,False,False,False,False
118,BHF,False,False,False,True,False,False,False,False,False,False
119,BHGE,False,False,True,False,False,False,False,False,False,False
120,BIIB,False,False,False,False,True,False,False,False,False,False
121,BIO,False,True,False,False,False,False,False,False,False,False
122,BIVV,False,False,False,False,True,False,False,False,False,False
123,BK,False,False,False,True,False,False,False,False,False,False
124,BKD,False,False,False,False,True,False,False,False,False,False
125,BKI,False,False,False,False,False,False,False,False,True,False
126,BKU,False,False,False,True,False,False,False,False,False,False
127,BLK,False,False,False,True,False,False,False,False,False,False
128,BLL,False,False,False,False,False,False,True,False,False,False
129,BMRN,False,False,False,False,True,False,False,False,False,False
130,BMS,True,False,False,False,False,False,False,False,False,False
131,BMY,False,False,False,False,True,False,False,False,False,False
132,BOH,False,False,False,True,False,False,False,False,False,False
133,BOKF,False,False,False,True,False,False,False,False,False,False
134,BPOP,False,False,False,True,False,False,False,False,False,False
135,BR,True,False,False,False,False,False,False,False,False,False
136,BRCD,False,False,False,False,False,False,False,False,True,False
137,BRK.B,True,False,False,False,False,False,False,False,False,False
138,BRKR,False,True,False,False,False,False,False,False,False,False
139,BRO,False,False,False,True,False,False,False,False,False,False
140,BRX,True,False,False,False,False,False,False,False,False,False
141,BSX,False,False,False,False,True,False,False,False,False,False
142,BUFF,False,True,False,False,False,False,False,False,False,False
143,BURL,True,False,False,False,False,False,False,False,False,False
144,BWA,True,False,False,False,False,False,False,False,False,False
145,BWXT,False,False,True,False,False,False,False,False,False,False
146,BXP,False,False,False,False,False,False,False,True,False,False
147,C,False,False,False,True,False,False,False,False,False,False
148,CA,False,False,False,False,False,False,False,False,True,False
149,CAA,False,True,False,False,False,False,False,False,False,False
150,CABO,True,False,False,False,False,False,False,False,False,False
151,CACC,False,False,False,True,False,False,False,False,False,False
152,CAG,False,True,False,False,False,False,False,False,False,False
153,CAH,False,False,False,False,True,False,False,False,False,False
154,CASY,True,False,False,False,False,False,False,False,False,False
155,CAT,False,False,False,False,False,True,False,False,False,False
156,CAVM,False,False,False,False,False,False,False,False,True,False
157,CB,False,False,False,True,False,False,False,False,False,False
158,CBG,False,False,False,False,False,False,False,True,False,False
159,CBOE,False,False,False,True,False,False,False,False,False,False
160,CBS,True,False,False,False,False,False,False,False,False,False
161,CBSH,False,False,False,True,False,False,False,False,False,False
162,CBT,False,False,False,False,False,True,False,False,False,False
163,CC,False,False,False,False,False,True,False,False,False,False
164,CCI,False,False,False,False,False,False,False,True,False,False
165,CCK,True,False,False,False,False,False,False,False,False,False
166,CCL,True,False,False,False,False,False,False,False,False,False
167,CDEV,False,False,True,False,False,False,False,False,False,False
168,CDK,True,False,False,False,False,False,False,False,False,False
169,CDNS,False,False,False,False,False,False,False,False,True,False
170,CDW,True,False,False,False,False,False,False,False,False,False
171,CE,False,False,False,False,False,True,False,False,False,False
172,CELG,False,False,False,False,True,False,False,False,False,False
173,CERN,False,False,False,False,True,False,False,False,False,False
174,CF,False,False,False,False,False,False,True,False,False,False
175,CFG,False,False,False,True,False,False,False,False,False,False
176,CFR,False,False,False,True,False,False,False,False,False,False
177,CFX,False,True,False,False,False,False,False,False,False,False
178,CGNX,False,True,False,False,False,False,False,False,False,False
