"","Open","High","Low","Close","Volume","Adjusted"
"2017-08-23",475,480.86,472.32,477.149994,410600,477.149994
"2017-08-24",477.27,488.82,474.34,485.26001,539000,485.26001
"2017-08-25",485.25,487.77,477.38,477.799988,531000,477.799988
"2017-08-28",483.92,486.35,477.78,479.220001,831200,479.220001
"2017-08-29",476.88,481.35,473.37,479.029999,546200,479.029999
"2017-08-30",480.51,495.85,477.97,487.119995,729100,487.119995
"2017-08-31",488.4,502.42,484,496.899994,871800,496.899994
"2017-09-01",498.24,505.49,497.09,504,699900,504
"2017-09-05",499.81,503.54,489.37,494.359985,657700,494.359985
"2017-09-06",499.69,503.33,492.87,500.220001,441600,500.220001
"2017-09-07",489,489,467,471.920013,1554400,471.920013
"2017-09-08",473,479.03,470,471.48999,760800,471.48999
"2017-09-11",451.08,454.99,441.52,445.109985,1984700,445.109985
"2017-09-12",448.12,448.12,440,444.480011,880600,444.480011
"2017-09-13",445,445,433.16,437.73999,1062800,437.73999
"2017-09-14",436.68,443.3,429.31,441.26001,987700,441.26001
"2017-09-15",442.04,442.16,432.43,433.450012,1002400,433.450012
"2017-09-18",433.48,439.03,430.05,434.640015,672300,434.640015
"2017-09-19",433.26,434.64,426.47,431.380005,699300,431.380005
"2017-09-20",431.64,438.44,429.55,438.170013,692600,438.170013
"2017-09-21",435,438.77,429.47,433.450012,556900,433.450012
"2017-09-22",431.12,433.77,427.04,432.720001,626300,432.720001
"2017-09-25",431.99,442.9,431.64,438.149994,834100,438.149994
"2017-09-26",440.4,442.8,433.32,434.970001,453400,434.970001
"2017-09-27",435.64,437.61,432.5,435.429993,499800,435.429993
"2017-09-28",433.29,439.04,433.29,435.109985,456600,435.109985
"2017-09-29",435.28,450.23,435.28,447.119995,909600,447.119995
"2017-10-02",448.31,465,445.41,462.23999,1175800,462.23999
"2017-10-03",463.04,463.04,451.26,455.630005,596700,455.630005
"2017-10-04",454.1,458.92,450.11,456.049988,610700,456.049988
"2017-10-05",455.95,477,451.1,463.399994,1421300,463.399994
"2017-10-06",463.39,471,461.91,469.950012,986000,469.950012
"2017-10-09",472.51,473.86,466.7,469.559998,482800,469.559998
"2017-10-10",469.56,472.31,460.66,461.130005,655700,461.130005
"2017-10-11",459.8,460.85,448.71,452.970001,1197800,452.970001
"2017-10-12",454,454.52,444.2,447.149994,704800,447.149994
"2017-10-13",448.5,449.74,441.04,442.959991,718100,442.959991
"2017-10-16",444,453.55,443.11,445.679993,508700,445.679993
"2017-10-17",444.41,448.57,442.01,442.559998,644300,442.559998
"2017-10-18",443.2,444.99,435.55,439.369995,547600,439.369995
"2017-10-19",439.59,443,438,440.940002,639300,440.940002
"2017-10-20",430.17,435.16,427,432.980011,990100,432.980011
"2017-10-23",433.28,437.9,430.05,432.76001,778600,432.76001
"2017-10-24",435.52,436.75,425.61,426.51001,701900,426.51001
"2017-10-25",424.53,429.73,420.52,421.929993,982200,421.929993
"2017-10-26",416.7,420.61,412.49,416.040009,852200,416.040009
"2017-10-27",413.29,416.04,406.52,409.220001,1111600,409.220001
"2017-10-30",407.53,417.22,405,406.519989,812000,406.519989
"2017-10-31",407.4,409.95,400.19,402.619995,1051200,402.619995
"2017-11-01",403.81,405.5,394.56,397,1161000,397
"2017-11-02",400,402.99,395.45,397.450012,1453300,397.450012
"2017-11-03",400.02,408.55,400.02,408.410004,896600,408.410004
"2017-11-06",410.01,416.89,406.5,406.630005,833500,406.630005
"2017-11-07",407.26,411.67,401.76,404.390015,786000,404.390015
"2017-11-08",418.01,432.5,405,415.170013,1310100,415.170013
"2017-11-09",409.44,414.02,396.53,406.209991,941900,406.209991
"2017-11-10",405.45,405.75,398.37,404.540009,770800,404.540009
"2017-11-13",398.26,402.13,391.21,393.619995,1416700,393.619995
"2017-11-14",392.75,395.59,383.83,384.799988,1109600,384.799988
"2017-11-15",384.87,389.03,383.81,386.299988,753800,386.299988
"2017-11-16",386.99,395.66,381.64,394.690002,674200,394.690002
"2017-11-17",393.08,396.36,390.52,391.589996,669100,391.589996
"2017-11-20",391.74,393.32,383.42,385.220001,845700,385.220001
"2017-11-21",385,388.22,383.3,384.440002,784700,384.440002
"2017-11-22",384.55,388.39,384.5,387.540009,367400,387.540009
"2017-11-24",388.4,392.99,384.25,384.850006,250500,384.850006
"2017-11-27",379,384,372.74,374.529999,1194500,374.529999
"2017-11-28",370.78,371.76,361.16,366,1532000,366
"2017-11-29",369.6,371.39,353.14,358.630005,2652300,358.630005
"2017-11-30",358.57,362.5,354.73,361.859985,1292700,361.859985
"2017-12-01",356.37,377.4,355.03,373.470001,1819500,373.470001
"2017-12-04",375.5,382.52,372.06,378.369995,1075100,378.369995
"2017-12-05",378.61,385.64,371.51,372.339996,792500,372.339996
"2017-12-06",370.38,376.98,366.66,375.130005,740900,375.130005
"2017-12-07",375.81,379.09,371.39,373.609985,513400,373.609985
"2017-12-08",375.52,384.07,373,380.779999,663900,380.779999
