,Sector,alpha,beta
WFT,xle,-0.00729706682982,2.1319
BWXT,xle,0.000133688122407,0.7456
MIC,xle,0.000853314987396,0.9277
BC,xle,0.00227459692841,1.449
GE,xle,0.00297570566962,0.984
PSX,xle,0.00332043230799,1.251
XOM,xle,0.00370156080446,0.9684
OKE,xle,0.00388566742186,1.5318
XOG,xle,0.00390780253069,1.6785
CMI,xle,0.00404668531169,1.0991
CDEV,xle,0.00411474065882,0.0595
RES,xle,0.00447385515986,1.5055
EQT,xle,0.00458482595476,0.9406
LPI,xle,0.00484882972645,1.7814
COG,xle,0.00530326603002,1.1012
EGN,xle,0.00539547915427,1.6427
EMR,xle,0.00540457316242,1.1083
HFC,xle,0.00606207935131,1.3775
OXY,xle,0.00614763200318,1.1031
CNX,xle,0.00639220078451,1.8085
BHGE,xle,0.0065650476959,1.2572
VLO,xle,0.00683238224033,1.2012
PTEN,xle,0.00694851520823,1.6669
COP,xle,0.00697130622514,1.4533
NFX,xle,0.00697285641243,1.6965
INT,xle,0.00701251836038,0.9625
MPC,xle,0.00717634682601,1.5522
HES,xle,0.00731729490727,1.58
ANDV,xle,0.00749804517395,1.2679
WMB,xle,0.00772000368568,2.1015
SM,xle,0.00772130006964,2.3182
SWN,xle,0.00772463847041,1.4229
CXO,xle,0.007755259502,1.5432
CVX,xle,0.00793686452429,1.1524
HP,xle,0.0080075437569,1.4535
EOG,xle,0.00815463257185,1.3218
SLB,xle,0.00839424289294,1.0406
RIG,xle,0.00861478560206,1.6765
KMI,xle,0.00882992314352,1.3148
HAL,xle,0.00884036139259,1.3551
PXD,xle,0.00885105044161,1.3097
PBF,xle,0.00894133248737,1.492
MUR,xle,0.010150215132,1.8232
RSPP,xle,0.0102490767119,1.6068
AR,xle,0.0106113461501,1.098
XEC,xle,0.0107112317283,1.4555
GPOR,xle,0.0107350490858,1.133
DVN,xle,0.0110163717233,1.819
KOS,xle,0.0111945654348,1.4046
NBL,xle,0.011940524518,1.4964
QEP,xle,0.0121188682912,1.8211
CLR,xle,0.0127232737185,1.849
FANG,xle,0.0127717148456,1.3203
APC,xle,0.0132125824531,1.638
CHK,xle,0.0133778570086,2.2063
PE,xle,0.0134347249552,1.5174
NOV,xle,0.0135534274319,1.2287
RRC,xle,0.0135873902936,1.1565
MRO,xle,0.0141298976914,1.9484
OII,xle,0.0148631838236,1.3238
NBR,xle,0.0151923851005,1.9648
WPX,xle,0.0157937742682,2.2146
APA,xle,0.018009830788,1.5982
WLL,xle,0.0192021173684,2.7569
RICE,xle,,1.4379
