,Sector,alpha,beta
PCG,xlu,-0.0215598635206,0.5002
EIX,xlu,-0.0145944353783,0.4314
SO,xlu,-0.0100008224921,0.3599
PPL,xlu,-0.00883562570678,0.6343
SRE,xlu,-0.0078479137524,0.6365
AEP,xlu,-0.00720664989222,0.509
PNW,xlu,-0.00668299682967,0.4659
ED,xlu,-0.00661058662135,0.3066
D,xlu,-0.0063737633757,0.4745
HE,xlu,-0.00610103130497,0.5283
AEE,xlu,-0.0060485358697,0.5166
XEL,xlu,-0.00578940567979,0.4397
LNT,xlu,-0.00556439292103,0.4016
CMS,xlu,-0.00531156063111,0.4716
ATO,xlu,-0.00486204147619,0.5611
DTE,xlu,-0.00460724975388,0.503
DUK,xlu,-0.00453817511481,0.4396
AWK,xlu,-0.00431314256776,0.4664
WR,xlu,-0.00418756528729,0.466
GXP,xlu,-0.00418755792474,0.504
VVC,xlu,-0.00416024598842,0.5871
NI,xlu,-0.00373148815854,0.6818
FE,xlu,-0.00350182581385,0.6336
OGE,xlu,-0.00322616804127,0.7619
TMUS,xlu,-0.00314466326335,0.9653
ES,xlu,-0.00305947328165,0.4497
WEC,xlu,-0.00276982321818,0.4698
AGR,xlu,-0.0027532665438,0.6764
SCG,xlu,-0.00243103682786,0.5211
EXC,xlu,-0.00219176563832,0.6967
NEE,xlu,-0.00200520693345,0.5005
PEG,xlu,-0.00171276050817,0.5883
UGI,xlu,-0.00157138566645,0.7356
ZAYO,xlu,-0.00147538040628,0.9508
ETR,xlu,-0.000999045352552,0.5224
CNP,xlu,-0.000987678356592,0.8121
CPN,xlu,2.96769525571e-05,1.0937
WTR,xlu,0.000963207828459,0.5656
NRG,xlu,0.00179163235033,1.3347
NFG,xlu,0.00188185353204,0.8589
WM,xlu,0.00239143234501,0.5921
S,xlu,0.00286028697147,1.562
RSG,xlu,0.00364032161328,0.6536
USM,xlu,0.00366042748677,0.9714
TDS,xlu,0.00412111965802,1.1714
AES,xlu,0.00430843045371,1.0602
VST,xlu,0.00483562356153,-0.4749
TRGP,xlu,0.00998868879272,1.8785
LNG,xlu,0.0144860348811,1.76
