,Alpha_Three_Factor,Sector,alpha,beta
KIM,-0.000578793290792,xlre,-0.0029556645233,0.7593
SPG,-0.000285508054928,xlre,-0.00235920995502,0.7028
MAC,-0.000180252661888,xlre,-0.00223536332268,0.8075
VNO,-7.17212706907e-05,xlre,0.000742009654001,0.8321
GGP,-1.45174043986e-05,xlre,-0.00397834089945,0.8196
FRT,9.88851645421e-05,xlre,-0.00109873654599,0.6726
REG,0.00017496853946,xlre,-0.000721921711376,0.6588
O,0.000312248301577,xlre,-0.00128817732446,0.4636
HCP,0.000380104461914,xlre,-0.00113292135001,0.6871
BXP,0.000425174591792,xlre,-0.000395313701323,0.8407
SLG,0.0004614642698,xlre,-0.00071281197005,0.9546
PSA,0.000520344760615,xlre,-0.00185452623199,0.6114
AIV,0.000521297137121,xlre,0.000168996805165,0.6935
UDR,0.000600108352241,xlre,-8.9812200474e-05,0.6511
ESS,0.000650620961459,xlre,-0.000213796936495,0.6467
AVB,0.000664238807166,xlre,-0.000261249605117,0.6209
MAA,0.000681429669949,xlre,-0.00205183493387,0.5847
EXR,0.000827952323168,xlre,0.00128621389078,0.5644
EQR,0.000855960358863,xlre,-0.0010355930077,0.6263
VTR,0.00104370432442,xlre,-0.00141244799895,0.5743
HCN,0.00106534828617,xlre,-0.00153754487291,0.5909
ARE,0.00118823445377,xlre,0.00123456703034,0.7228
WY,0.00143621212199,xlre,0.000768412350293,1.0564
AMT,0.0016543491684,xlre,-0.000913488523227,0.839
DRE,0.00166992036567,xlre,-0.000841266790317,0.8408
HST,0.00181493826928,xlre,-0.000695648571418,1.1901
CBG,0.00184760313287,xlre,0.00230008958333,1.5079
FCE-A,0.00187081720894,xlre,-0.000988556183253,
CCI,0.00196680896135,xlre,-0.000430739469588,0.632
PLD,0.00198414004886,xlre,0.000307484628264,0.9119
IRM,0.00201246968989,xlre,-0.00100932437096,0.8704
DLR,0.00204337879806,xlre,-0.00275426891254,0.66
EQIX,0.00221985697572,xlre,-0.00203467241154,0.9287
SBAC,0.0022964659197,xlre,9.6581661844e-05,1
