,Alpha_Three_Factor,Sector,alpha,beta
SON,0.000353560752758,xly,0.000902947517295,0.8811
FOX,0.000381580993177,xly,0.00508031434295,1.0284
COST,0.000385860381591,xly,0.00358471317526,0.6653
NNN,0.000392970347321,xly,-0.00154746551967,0.5218
HHC,0.000398872939118,xly,0.00392706320277,1.2346
PGRE,0.000405610114543,xly,-0.000574127681008,0.7113
SBUX,0.000406437074397,xly,4.42154000487e-05,0.8587
QVCA,0.000417735250311,xly,0.00312711737698,0.9944
DG,0.000443334489732,xly,0.00481077120916,0.6694
LSI,0.000449078095905,xly,-0.000460975754515,0.5816
ESRT,0.000457926730316,xly,-0.00110310372489,0.6823
LEG,0.000461783941167,xly,0.00205789797752,0.9459
GPC,0.000474076457838,xly,0.0021907118491,0.9267
FOXA,0.000479641521811,xly,0.00481608058346,1.0164
WHR,0.000537725513949,xly,-0.000749226498229,1.1935
EQC,0.000554288869824,xly,0.000453455787054,0.6414
CDK,0.000571179498759,xly,0.00496861100147,1.0277
KORS,0.000583447138132,xly,0.00397303918247,0.8741
DNKN,0.000591321808049,xly,0.00353871027916,0.5143
CLX,0.000604047688842,xly,-0.000178605108958,0.5202
VER,0.000619443791159,xly,-0.00106576318926,0.7721
CLNS,0.000625667008546,xly,-0.00437936921955,1.2074
LKQ,0.000628407093916,xly,0.00487711511612,1.0966
CUBE,0.00065548817334,xly,0.000477355523999,0.5852
KRC,0.000663457004119,xly,0.000601706374627,0.9134
F,0.000671872745742,xly,0.00287145765775,1.1723
PDM,0.000683914586592,xly,-0.00143517928944,0.631
PINC,0.000686682968594,xly,1.54107072369e-05,0.6971
BMS,0.000687731876087,xly,0.000807129928317,0.7643
TWX,0.000694039166173,xly,-0.000351904314003,0.8281
EPR,0.000699768767762,xly,-0.00242855557276,0.6691
CXP,0.000700210799251,xly,0.00168056527627,0.6515
BRK-B,0.000720041076313,xly,0.000777766006935,
CHTR,0.00072498262651,xly,-0.00152656894152,0.9579
PCLN,0.000737201299462,xly,0.00309943409838,1.2151
DRI,0.000740917502507,xly,0.00530586859127,0.7162
LBRDK,0.000742969799561,xly,-0.00258876680044,0.821
STWD,0.000767525393516,xly,-0.00152427535919,0.6564
NWSA,0.000784321362183,xly,0.00411232296741,1.2734
AMH,0.000788109033054,xly,-0.00128041523539,0.5985
BFAM,0.000792984628471,xly,0.0028904728598,0.7491
NWS,0.000798494312066,xly,0.00440532476072,1.1887
HIW,0.000800031932431,xly,-0.000651222400334,0.7829
FLT,0.000818976228956,xly,0.00222575414765,1.2801
LBRDA,0.000822778658049,xly,-0.00244505276475,0.8302
ENR,0.000825735567831,xly,0.00249426062136,0.5774
LEXEA,0.00082968235938,xly,,0.6044
BAH,0.000869709713688,xly,0.00104215549797,0.8792
OUT,0.000881623782453,xly,0.000196393569768,0.775
EXPE,0.000892386337877,xly,-0.00663699516026,1.2397
WMT,0.000893090931236,xly,0.00472643017682,0.5965
HPT,0.000896684011283,xly,-0.000122269273441,1.0421
DLTR,0.000908669021523,xly,0.00573231639915,0.8482
LSXMA,0.00092962583957,xly,-0.00341644457433,0.9458
CCK,0.00095479430454,xly,2.65831168084e-05,0.9972
CPT,0.000955199605762,xly,-0.000652080506151,0.6212
OFC,0.000956942074348,xly,-0.00211529444273,0.6706
HAS,0.000980301990998,xly,-0.000657109664396,0.8585
SIRI,0.000986859694519,xly,-0.00321305596398,0.8894
Z,0.000987684128175,xly,0.00485750880558,0.9802
MGM,0.000991510484396,xly,0.00243819170194,1.557
DLB,0.000996633145033,xly,0.00237405871035,0.7872
MSG,0.0010027161822,xly,0.000715785087826,0.6294
HTA,0.00101079694708,xly,-0.000378403986184,0.4161
PAG,0.00101560157496,xly,0.00228075851854,1.3587
MUSA,0.00102991559249,xly,0.00616273119884,0.7562
TPX,0.0010712475564,xly,0.00572028005151,1.2408
SLGN,0.00107315457254,xly,0.00213500961462,0.8394
GHC,0.00108176264474,xly,0.00302306274135,0.7483
CABO,0.00108938759319,xly,8.02813180421e-05,0.4683
GRMN,0.00109735402121,xly,0.00357937224083,1.0545
ARMK,0.00110420754819,xly,0.00171320693206,0.8012
ACM,0.00110514647727,xly,0.00444919863188,1.4812
GM,0.00110676221034,xly,0.00240803018494,1.0896
WSO,0.00111992708345,xly,0.00197142516791,0.8427
WEN,0.00112390850803,xly,0.000729601149999,0.8863
G,0.00113440628954,xly,0.00239895437886,0.7687
LPT,0.0011393567296,xly,0.000320382273326,0.8037
SUI,0.00114308407326,xly,-4.54752793036e-05,0.5581
HD,0.0011448965824,xly,0.00443177193705,0.9203
AGNC,0.00115243934072,xly,-0.00263533852243,0.385
BDN,0.00115922217125,xly,0.000721843191478,0.819
LGF-B,0.00117019790505,xly,-0.000797567812697,
RBC,0.00117263347586,xly,0.00346348897358,1.1773
LOW,0.00118020001112,xly,0.00529429600613,0.9546
ZG,0.00118054013675,xly,0.0050280235892,0.8666
