,Alpha_Three_Factor,Sector,alpha,beta
AYI,-0.000688757879847,xli,0.0102778563455,1.1503
SRCL,-0.000607494873406,xli,0.000522049169072,0.7962
GWW,-0.000275444400964,xli,0.00168179231363,0.8248
NLSN,-6.74581134818e-05,xli,-0.00393572408654,0.9667
SAVE,-4.21371870108e-05,xli,0.00989156866012,1.1154
SNA,-9.64093104165e-06,xli,0.00365930210153,1.0266
NEU,5.72071985254e-05,xli,-0.000584001844608,0.8397
CSL,0.000125700435903,xli,0.00429412731147,0.9478
FLR,0.000136335646254,xli,0.00530034624124,1.3212
MDU,0.000211633423105,xli,0.00171255681025,1.1032
CHD,0.000274995785869,xli,-0.000364269029269,0.5355
PG,0.000312900337786,xli,-0.00119553165053,0.6391
UPS,0.000331465397559,xli,0.00274777582121,0.8074
TAHO,0.000411916156487,xli,0.00648452129451,0.8152
ALK,0.000434465650416,xli,0.0038377238595,1.1288
JCI,0.000507558317168,xli,0.00090287806955,0.9512
RS,0.000518642739282,xli,0.00457498301832,1.2382
JBLU,0.000590918079579,xli,0.00393236182164,1.3208
FLS,0.00063944214215,xli,0.00338750817285,1.3093
RPM,0.000674714188548,xli,0.00371546366806,1.0733
FAST,0.000733010315272,xli,0.00184258224602,1.0394
UTX,0.000737322669857,xli,0.00112017098019,0.8843
TDG,0.000760438889657,xli,0.00180676578115,0.9149
CLH,0.000859065340123,xli,-0.0024535396531,1.0776
GD,0.000885115753867,xli,-0.000340744550127,0.9181
EXPD,0.000892251341814,xli,0.000624513471193,0.8022
IR,0.000900424597961,xli,0.00101074299446,1.1353
ALLE,0.00093170241828,xli,-0.0024257838728,1.0486
VVV,0.00102134012645,xli,0.00310860703247,-0.4073
LUV,0.00104431889575,xli,0.00308964077282,1.1109
GWR,0.0010580274581,xli,0.00301262990047,1.6367
SMG,0.00107657689446,xli,0.00173344756641,0.7389
LMT,0.00115516616648,xli,0.00042278556659,0.6714
JEC,0.00116257288542,xli,0.0045518640284,1.2126
HON,0.00119820806368,xli,0.00189940769204,1.0174
JBHT,0.00119923840452,xli,0.00370507895201,0.8643
TXT,0.00120202605828,xli,0.0024523077087,1.2721
AAL,0.00120661707288,xli,0.0037369669664,1.3833
GRA,0.00121411057767,xli,0.0034270590343,0.9414
NOC,0.00123687021744,xli,0.0015803701935,0.8198
STLD,0.001263737603,xli,0.00614314785655,1.4139
CHRW,0.00126509860104,xli,0.00286920394796,0.7565
HXL,0.00131617454241,xli,-0.000132341691896,1.1376
FDX,0.00131913939022,xli,0.00424702682973,1.0885
WST,0.00135299527149,xli,0.00271700617348,0.9215
RTN,0.00136728401055,xli,-0.000977066658152,0.7186
UAL,0.00137761385491,xli,0.00634484430449,1.2811
DAL,0.00138223493633,xli,0.00409517830695,1.2747
UNP,0.00140792513013,xli,0.00418985576237,1.1181
CBT,0.00140805286775,xli,0.00388830990385,1.293
SWK,0.00144721174683,xli,0.00162164564881,1.0246
LSTR,0.00146411938502,xli,0.00308478117761,0.8165
MAS,0.00149743649115,xli,0.0037051511934,1.1896
XYL,0.00151800144517,xli,0.00273140252525,1.0625
PWR,0.00152337889954,xli,0.00485647971118,1.2122
PCAR,0.00152361967037,xli,0.00251686809878,1.2514
AOS,0.00155524363225,xli,0.00235297349081,1.217
UFS,0.00161814811044,xli,0.0058121236055,1.1939
FBHS,0.00162633242585,xli,0.00223155817594,1.0776
PH,0.00163328369914,xli,0.00279407572112,1.1933
KSU,0.00168078910043,xli,0.000838179079357,1.1457
SCCO,0.00168591923266,xli,0.00184846431991,1.2986
CTAS,0.00170283267752,xli,0.00144531699647,0.9195
ROP,0.00170766768516,xli,0.00230515315932,1.0219
COL,0.00171003792086,xli,0.000570866774904,0.8964
FTV,0.00171894831583,xli,0.00222314675501,0.2838
CPA,0.00172518243623,xli,0.00626094463822,1.1496
DE,0.00177474625007,xli,0.00527409963654,0.8979
ODFL,0.00184344396646,xli,0.00780815711539,1.0697
CAT,0.0018536881925,xli,0.00372731959954,1.2104
LEN,0.00185499028007,xli,0.00428239458046,1.2316
ARNC,0.00188998749301,xli,0.00260195623747,1.6135
LEN-B,0.00193133394149,xli,0.0048101654964,
AME,0.00193185760531,xli,0.00315933667076,1.0901
VSM,0.0019518066981,xli,0.00403336698248,1.3278
CE,0.0019543565556,xli,0.00121749633199,1.3017
NSC,0.00198445268241,xli,0.00377756427705,1.1285
PAH,0.00201363546131,xli,0.00196991361846,2.0604
RGLD,0.00205940080887,xli,-0.00147144876434,0.4014
AXTA,0.00208880443205,xli,0.00773014666733,0.9483
ROK,0.00226033832544,xli,0.00334738173445,1.2
BA,0.00227727300856,xli,0.00181486569204,1.0808
X,0.00244532762341,xli,0.00726964544242,2.1668
CSX,0.00310617112126,xli,-0.00025050982423,1.2539
AA,0.00333197795166,xli,0.00530992617138,2.8805
OLN,0.00342202814112,xli,0.00450616011405,1.4165
WLK,0.00353308028204,xli,0.00389217465011,1.5631
HUN,0.00354448097135,xli,0.00855965976262,1.8269
CC,0.00545548417878,xli,0.00443623452173,1.9224
