,Alpha_Three_Factor,Sector,alpha,beta
BHF,-0.00128506218986,xlf,,0.4626
BPOP,-0.000741108410462,xlf,0.00683387773602,1.1546
TFSL,-0.000185657864111,xlf,-3.51720310024e-05,0.7451
AHL,-0.000182267134769,xlf,0.000539772269226,0.8659
NYCB,-0.000179042236699,xlf,0.00223047086403,0.9145
MKTX,-1.46542604673e-05,xlf,0.00266160169641,0.9903
PACW,7.0843039626e-05,xlf,0.00411985850889,1.4269
Y,8.32690688381e-05,xlf,0.00174413530485,0.8269
AXS,9.52029181383e-05,xlf,-0.00212241027361,0.608
CINF,0.000151340059505,xlf,-0.00203818255023,0.9098
AIG,0.000170504801074,xlf,-0.00128508180577,1.0817
EFX,0.000218278763973,xlf,0.00366638585693,1.0007
BOH,0.000230078917774,xlf,0.00157976404362,1.0523
CBSH,0.000230277982169,xlf,0.0016934939497,1.0739
ANAT,0.000242196373702,xlf,0.00258504560147,0.7822
BKU,0.000289201559796,xlf,0.00535935257071,1.2177
MCY,0.00029224629837,xlf,-0.00194923864477,0.6932
WTM,0.000302147153796,xlf,6.54715368975e-05,0.3395
SBNY,0.000309881318662,xlf,0.00437031115418,1.2011
ATH,0.000355757909518,xlf,0.00188510612246,1.9535
DNB,0.000382843415508,xlf,0.00211446954213,1.1531
L,0.000454103282814,xlf,0.000366299299175,0.919
DFS,0.000482641282239,xlf,0.00455318997696,1.1091
BOKF,0.000512120921819,xlf,0.00232247475031,1.249
VOYA,0.000558471049701,xlf,0.00299305793359,1.3519
VR,0.000588120323413,xlf,-0.00132183944955,0.6881
PBCT,0.000588301591004,xlf,0.00169413673345,1.0389
AGO,0.00059565620573,xlf,-0.000918739718297,1.0616
BBT,0.000613400059105,xlf,0.00282905310531,1.1937
FHN,0.000619007898368,xlf,0.00180771966355,1.2957
ERIE,0.00063871960161,xlf,0.00124171379122,0.679
RE,0.000648892510699,xlf,0.000815855697991,0.6803
XL,0.000658754176751,xlf,-0.00249237992714,0.7854
BK,0.000701661017919,xlf,0.00112224650206,1.2749
USB,0.000709022650473,xlf,0.00190504639387,1.1454
FNB,0.000718224415149,xlf,0.00247520243521,1.2068
RNR,0.000737048014368,xlf,-0.000232451370948,0.5968
TRV,0.00073780224941,xlf,-0.00146701611035,0.8179
PB,0.000738214700467,xlf,0.00335173568525,1.4932
ASB,0.000751255765884,xlf,0.00138097876116,1.2721
FHB,0.000753422753395,xlf,0.00185720691021,1.0403
HIG,0.000781253236138,xlf,0.0010318854811,1.0658
WRB,0.000781846620566,xlf,7.32974801238e-05,0.7995
ACGL,0.000786810822865,xlf,-0.00069376122174,0.5678
PNFP,0.000793002341503,xlf,0.000980702430525,1.3575
AFL,0.000819339048514,xlf,0.000320238714597,0.9114
MKL,0.000844670529107,xlf,0.001466600724,0.7733
PRU,0.000845468989434,xlf,0.00135893890404,1.4843
SEB,0.000849083303445,xlf,0.00134427365516,1.1265
HPP,0.000867343580523,xlf,-0.00050559477232,0.8199
NAVI,0.000879709951328,xlf,0.00488102287223,1.3151
ORI,0.000896198991373,xlf,0.00237703650652,0.9032
WFC,0.000913091902414,xlf,0.0038078978901,1.1759
OZRK,0.000917330603029,xlf,0.00425462275176,1.436
NDAQ,0.000923240240465,xlf,0.00136414197786,0.8842
MMC,0.000924212431342,xlf,-0.00131944031815,0.9175
GS,0.000933829420475,xlf,0.00141686380768,1.3768
MET,0.000939290222297,xlf,-0.000587290363776,1.4174
MORN,0.00094089553172,xlf,0.00348966443396,0.7281
PRA,0.000949014416393,xlf,-0.00351348253409,0.589
FII,0.000975409677791,xlf,0.00447514045378,1.2679
WBS,0.000978057189074,xlf,0.00294642233059,1.3236
CB,0.000984208541433,xlf,-0.00153611057014,0.856
COF,0.00101644323972,xlf,0.00491954876329,1.2961
BRO,0.00105044371918,xlf,0.00188993110329,0.8131
MS,0.00105566410051,xlf,0.00245699608637,1.6227
SYF,0.00105900117476,xlf,0.00528393313952,1.0261
BEN,0.00106189122009,xlf,-0.000492986968242,1.4093
TMK,0.00107347158116,xlf,0.00179853105703,0.9757
AIZ,0.0010865146679,xlf,0.00185987567616,0.8961
CFR,0.00110973534611,xlf,0.00283569080853,1.3616
AJG,0.00114987727107,xlf,0.00120488786041,0.826
FRC,0.00115733339778,xlf,-0.000449105113867,1.2112
AMTD,0.00117347140944,xlf,0.00211299402644,1.4236
SCHW,0.00118419741495,xlf,0.00328429013508,1.636
STI,0.00119271425979,xlf,0.00345727888364,1.3876
EEFT,0.00119429388538,xlf,0.00131994798365,1.0834
LUK,0.00121982412074,xlf,0.0019163682703,1.2417
HBAN,0.00122652428597,xlf,0.00220932555674,1.3249
KEY,0.00122659774432,xlf,0.00297375680119,1.4191
THG,0.00124658372972,xlf,0.00114895455081,0.8429
PNC,0.00126471302394,xlf,0.00199055389151,1.1999
FITB,0.00126708073142,xlf,0.00255206629837,1.4055
RLGY,0.00126960334757,xlf,-0.000590624402767,1.0387
CME,0.00129248438706,xlf,0.00102187242541,0.798
AON,0.00130447846941,xlf,-0.00290664165275,0.8957
EV,0.00131416002018,xlf,0.00304634345662,1.3628
ETFC,0.00132704604135,xlf,0.00321922081563,1.619
CIT,0.00132855500983,xlf,0.00345001188197,1.1828
RJF,0.00134528628087,xlf,0.00151181898645,1.3911
TCF,0.00135486809493,xlf,0.00534481042263,0.1226
SPGI,0.0013800454902,xlf,0.00265775265243,1.1838
LNC,0.00138237379203,xlf,0.00170238589791,1.7033
IVZ,0.00138316987217,xlf,0.00176544102895,1.6482
RGA,0.00138862337262,xlf,0.00318329485652,1.0076
WAL,0.00138951484988,xlf,0.00364700353579,1.4183
PFG,0.00139181952199,xlf,0.000938156315097,1.5247
UNM,0.00141036400644,xlf,0.00194060747982,1.2813
WLTW,0.00142023438144,xlf,-0.00176079600077,0.8609
STT,0.00143204428978,xlf,-0.000484544967877,1.4313
MTB,0.00145426323698,xlf,0.00266541432516,1.1949
OMF,0.0014578852026,xlf,0.00895820952257,1.5301
AFG,0.00147208841405,xlf,-0.00104235765158,0.7958
AMG,0.00148332569467,xlf,0.00273616628261,1.6626
JPM,0.00148896564807,xlf,0.00355643160392,1.3278
SC,0.00150886357805,xlf,0.00701272592164,1.2381
ALL,0.00156090920153,xlf,0.000875855404879,0.773
RF,0.00159726270096,xlf,0.00404237206418,1.4845
CFG,0.00160471943829,xlf,0.00445752659023,1.2593
BLK,0.00162798425746,xlf,0.00259305089956,1.3561
ICE,0.00165243572795,xlf,0.000513541082387,1.0392
SNV,0.00166732288913,xlf,0.00238567371921,1.2715
PGR,0.00168508291587,xlf,0.00176659109646,0.8065
AXP,0.0016963135242,xlf,0.0033929735888,0.8567
CMA,0.00171094974306,xlf,0.00421513739256,1.4967
ZION,0.00172179018074,xlf,0.00350829616076,1.467
IBKR,0.00172868350322,xlf,0.00459824823391,1.2523
LPLA,0.00176038088303,xlf,-0.000337062675171,1.1774
CNA,0.00177542536534,xlf,0.00110666684005,0.9501
C,0.00179913072915,xlf,0.00156304719682,1.5454
ROL,0.00181194033225,xlf,-0.00138118703048,0.8218
TROW,0.00184680782153,xlf,0.0013502937271,1.1548
JLL,0.00186454125012,xlf,0.00374619406314,1.4936
FAF,0.00187761277659,xlf,0.00394877431761,0.8066
BAC,0.00188861753842,xlf,0.00427184179736,1.4991
MCO,0.00189775850038,xlf,0.00203873920575,1.223
EWBC,0.00195411404511,xlf,0.00222514028784,1.4386
NTRS,0.00195528815212,xlf,0.00195664859439,1.3279
SEIC,0.0019751387908,xlf,0.00441856352283,1.3276
AMP,0.00204064164814,xlf,0.00285966667996,1.5268
LM,0.00205169005453,xlf,0.00338641343271,1.4652
ALLY,0.00211465876353,xlf,0.00595727114392,1.1004
LAZ,0.00223040948995,xlf,0.00377301093784,1.682
CACC,0.0022581754577,xlf,0.00491747513155,0.9513
BGCP,0.00230526862021,xlf,0.00226718411231,1.2469
CBOE,0.00233959271928,xlf,0.00233731200181,0.4261
FNF,0.00242481130017,xlf,0.00444557639782,0.7165
SLM,0.0024349413292,xlf,0.00401839507167,1.1609
SIVB,0.00273784517471,xlf,0.00939921030249,1.8194
TRU,0.00283998732386,xlf,0.00435317791195,0.9439
INVH,0.69857733501,xlf,,0.3066
