Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,70.25,71.029999,69.349998,70.610001,69.459007,11125400
2017-01-04,70.900002,71.660004,70.82,71.269997,70.108246,7806800
2017-01-05,71.480003,71.510002,70.589996,70.830002,69.67543,6217200
2017-01-06,71.139999,72.879997,71.110001,72.870003,71.682167,8985600
2017-01-09,73.300003,74.110001,73.199997,73.82,72.616676,9634500
2017-01-10,74.269997,75.269997,74.120003,74.900002,73.679085,7681700
2017-01-11,75.120003,75.120003,73.379997,74.440002,73.226578,7475400
2017-01-12,74.059998,75.230003,73.739998,75.110001,73.885658,6462600
2017-01-13,75.0,75.300003,74.660004,75.089996,73.865982,5455800
2017-01-17,75.059998,75.949997,74.370003,75.82,74.584084,7040800
2017-01-18,76.269997,76.269997,75.209999,75.669998,74.436523,5833000
2017-01-19,75.300003,75.720001,74.940002,75.300003,74.072563,6753700
2017-01-20,75.510002,75.68,74.720001,74.989998,73.767609,8898600
2017-01-23,74.720001,75.139999,74.360001,74.769997,73.551193,4523400
2017-01-24,74.639999,74.730003,73.589996,73.830002,72.626526,6430300
2017-01-25,73.989998,74.610001,73.589996,74.489998,73.275764,6171200
2017-01-26,74.489998,74.580002,73.889999,74.040001,72.833099,3699400
2017-01-27,74.540001,75.230003,74.470001,74.949997,73.728256,4903000
2017-01-30,74.68,74.940002,74.32,74.669998,73.452827,4372100
2017-01-31,74.589996,76.230003,74.269997,76.019997,74.780823,7828200
2017-02-01,75.279999,76.040001,75.230003,76.0,74.761147,5618300
2017-02-02,75.580002,76.290001,75.440002,75.919998,74.682449,5357300
2017-02-03,76.129997,76.5,75.669998,76.339996,75.095604,4985900
2017-02-06,76.32,76.339996,75.519997,75.980003,74.741486,3817600
2017-02-07,75.870003,76.160004,75.519997,76.120003,74.879189,3898500
2017-02-08,76.07,76.139999,75.519997,75.599998,74.367668,3668200
2017-02-09,75.599998,75.879997,75.440002,75.709999,74.475876,4367500
2017-02-10,75.849998,76.260002,75.709999,76.150002,74.908699,3427100
2017-02-13,76.269997,76.93,76.150002,76.919998,75.666145,4081600
2017-02-14,77.0,77.300003,76.459999,77.050003,75.794037,3781600
2017-02-15,76.639999,77.889999,76.57,77.699997,76.433426,4244300
2017-02-16,77.720001,78.0,77.160004,77.989998,76.718704,4152500
2017-02-17,77.860001,78.980003,77.800003,78.879997,77.5942,9954600
2017-02-21,80.0,80.980003,79.800003,80.559998,79.246811,7313100
2017-02-22,80.25,80.470001,79.239998,79.620003,78.322151,5508000
2017-02-23,80.25,80.93,79.949997,80.739998,79.423874,4552700
